Kérdés	Jó válaszok								Rossz válaszok							
Melyik betűk magánhangzók?	a	e	á	ű					x	dzs	b	f	h	ly		
Melyik országok szomszédosak Magyarországgal?	Ausztria	Szlovákia	Szlovénia	Románia	Ukrajna	Szerbia	Horvátország		Csehország	Bosznia és Hercegovina	Moldova	Lengyelország	Montenegró	Lichtenstein	Olaszország	Bulgária
Melyik betűk szerepelnek a QWERTY billentyűzetkiosztásban a középső ("A" kezdetű) sorban?	S	D	F	G	H	J	K	L	U	I	X	B	N	P	Q	V
Hogy hívták a honfoglalás idején a hét magyar vezért?	Álmos	Előd	Ond	Kond	Tas	Huba	Töhötöm		Jenő	Kér	Keszi					
A KRESZ szerint hol tilos megállni?	körforgalomban	gyalogos-átkelőhelyen	hídon	aluljáróban	autóbusz-megállóban	autópályán	autóúton	útkereszteződésben	országúton	gépkocsi-behajtó előtt	fizető parkolóhelyen (fizetés nélkül)	füves területen	útkereszteződéstől 10 méterre	templom előtt		
Melyek prím számok?	11	79	89	17	53	313	2	43	159	513	892	1133	750	91	1	75
Hogy hívták a hét törpét a Hófehérke és a hét törpe című mesében?	Tudor	Vidor	Morgó	Szundi	Szende	Hapci	Kuka		Hami	Okoska	Puszedli	Tyrion	Vackor			
Melyik színek szerepelnek európai országok zászlajában?	piros	sárga	narancssárga	kék	fekete	fehér	világoskék	bordó	lila	rózsaszín						
Melyik számok jelentenek kettőt valamilyen nyelven?	kettő	two	zwei	dos	due	ni	deux	två	too	tú	tjue	doua sute	zehn	tomorrow	cantata	szilva
Melyik focisták kapusok?	Iker Casillas	Gianluigi Buffon	Manuel Neuer	Oliver Kahn	José Luis Chilavert	Júlio César	Tim Howard		Yaya Touré	Fernando Torres	Radamel Falcao	Gareth Bale	Frank Lampard 	Cristiano Ronaldo		
Kik a Marvel univerzum hősei?	Deadpool	Doctor Strange	Magneto	Jean Gray	Black Panther	Thor			Doctor Manhattan	Rorschach	Aquaman	Catwoman	Green Lantern	Batman	Superman	
